nama,rating,jumlah_review,tipe,lat,lon,kategori,provinsi,url_gambar_1,url_gambar,url_gambar_2
Eco Active Park,4.6,27591,Taman Hiburan,-7.8877752,112.5266102,Taman Hiburan,Jawa Timur,https://pixabay.com/get/ga8170bb04039a4212f4ad6ffaab8bd17c92faf0218f2490da08df8e3bf2aa00e2ad1e399d217d9fa3954ceef5c0b2689211f721f84679378fed74ac35a738d58_1280.jpg,,
Tugu Macan (Simo),4.4,1280,Monumen,-7.439192,110.6781075,Edukasi,Jawa Tengah,,,
White Sand Beach,4.6,34,Tujuan Wisata,-6.5532666,110.6540072,Alam,Jawa Tengah,,,
Taman Literasi Tidar,4.7,18,Taman bermain,-7.9626459,112.6015189,Taman Hiburan,Jawa Timur,,,
Monumen Serang Bertakwa,3.9,77,Museum Patung,-6.117179,106.1522658,Edukasi,Banten,,,
Tugu Cembengan,4.5,166,Bangunan Bersejarah,-7.5577858,110.8475671,Edukasi,Jawa Tengah,,,
Pantai Wonokerto,4.4,1468,Pantai Umum,-6.8458071,109.6336352,Alam,Jawa Tengah,,,
Tugu - Obelisk Van Mangkoenegara - Ngipik,4.4,612,Monumen,-7.6192339,111.0160001,Edukasi,Jawa Tengah,,,
Museum Situs Kepurbakalaan Banten Lama,4.4,1202,Museum,-6.0362113,106.155831,Edukasi,Banten,,,
Demak Green Garden (Degega),4.2,1167,Taman bermain,-6.8044842,110.7399355,Taman Hiburan,Jawa Tengah,,,
Museum Manusia Purba Klaster Bukuran,4.5,423,Museum,-7.4510636,110.8623318,Edukasi,Jawa Tengah,,,
Candi Ngawen,4.6,324,Bangunan Bersejarah,-7.6041907,110.2723905,Edukasi,Jawa Tengah,,,
Tugu Selamat Datang,3.8,133,Monumen,-8.22259,112.53217,Edukasi,Jawa Tengah,,,
Museum Anjuk Ladang,4.4,299,Museum,-7.5932525,111.8938768,Edukasi,Jawa Timur,https://pixabay.com/get/g98b8d27a3621848cfe02488ef66c088b47aa5cd6ed26ceeaceffabbef7443081be0f56b156f1b67ca35f92d28c8d22612816daf5434d524fffea259e1ad651cd_1280.jpg,,
Bangunan Ex Stasiun Jamboe Lama,4.2,38,Museum Sejarah Lokal,-6.2917052,106.2635322,Edukasi,Banten,,,
Puncak Gunung Welirang ,4.8,25,Area Mendaki,-7.7340691,112.574904,Alam,Jawa Timur,,,
Suraloka Interactive Zoo,4.4,3097,Kebun Binatang,-7.6075794,110.4215417,Taman Hiburan,Daerah Istimewa Yogyakarta,https://pixabay.com/get/g62c08fcb52a8dbb6ec050926b8a95acad02a3495ba330921578a4a3e49879e35027a845220e1c327d070866bd67b8bf59e5391c2e9963307fd33d40c4043fae4_1280.jpg,,
Citraland Waterpark,4.4,3137,Taman Rekreasi Air,-8.6273874,115.1932744,Taman Hiburan,Bali,,,
Monumen Patung Dewa Ruci,4.6,62,Bangunan Bersejarah,-7.8793583,109.9832199,Edukasi,Jawa Tengah,,,
Tugu Sma Pariwisata,4.4,22,Monumen,-8.376692,114.682917,Edukasi,Bali,,,
Pesona Panghegar Waterpark,4.2,107,Taman Rekreasi Air,-6.5180435,107.472104,Taman Hiburan,Jawa Barat,,,
Kampung Pelangi Waterpark Reborn,4,482,Taman Rekreasi Air,-6.464047,106.7110114,Taman Hiburan,DKI Jakarta,,,
City Garden Eat And Play,3.9,95,Taman bermain,-6.1976093,106.6369282,Taman Hiburan,Banten,,,
Puncak Bukit Trunyan,4.7,83,Area Mendaki,-8.2669052,115.4303915,Alam,Bali,,,
Suncity Waterpark Sidoarjo,4.3,3002,Taman Rekreasi Air,-7.4496282,112.7127712,Taman Hiburan,Jawa Timur,https://pixabay.com/get/g080ca145495cdee19943ec776d8f2254fcec5c364c163a3ff520c1e4df2e74e03f989fff059bd2b544a1df6f547c210de18c2fcf411d094e8a16d8077e4ef132_1280.jpg,,
Dunia Fantasi,4.6,77163,Taman Hiburan,-6.1253124,106.8335377,Taman Hiburan,DKI Jakarta,,,
Tugu Dandang,4.2,151,Patung,-7.0842767,110.3321683,Edukasi,Jawa Tengah,,,
Bukit Dagi,4.5,573,Tujuan Wisata,-7.6035748,110.2001315,Edukasi,Jawa Tengah,,,
Wisata Puncak Clongop - Wpc,4.5,154,Tujuan Wisata,-7.8205951,110.5963146,Alam,Daerah Istimewa Yogyakarta,,,
Pantai Nglambor,4.5,3423,Pantai,-8.1827028,110.6792399,Alam,Daerah Istimewa Yogyakarta,,,
Hutan Mangrove Pancer Cengkrong,4.3,1006,Tujuan Wisata,-8.2981365,111.7074515,Alam,Jawa Timur,,,
Tugu Kujang Bogor,4.7,14411,Monumen,-6.6014417,106.8050738,Edukasi,DKI Jakarta,,,
Bukit Batu Nganjuk,3.7,38,Tujuan Wisata,-7.7248769,111.8038434,Alam,Jawa Timur,,,
Wisata Waterfall Tanaka,4.6,974,Taman Rekreasi Air,-8.0849375,112.4980625,Taman Hiburan,Jawa Timur,https://pixabay.com/get/gb554993b4b1eee5cfe7d71d89be55b3b87f97bbd810727dbfe8645f19ac190abc948d46f3c91741e2ee17113e079e9d57d4af596673c8d387275d7f8b890b3d0_1280.jpg,,
Wisata Alam Sikembang,4.4,2069,Taman,-7.0941301,109.8119759,Alam,Jawa Tengah,,,
Hutan Pinus Asri,4.5,5047,Area Rekreasi Alam,-7.9209209,110.4355651,Alam,Daerah Istimewa Yogyakarta,,,
Oleh Oleh Khas Jakarta Oemah Snack,5,29,Pusat Perbelanjaan,-6.1495288,106.8153256,Shopping,DKI Jakarta,,,
Kolam Renang Thb Waterboom Park,4.4,5458,Taman Rekreasi Air,-6.176482,106.995898,Taman Hiburan,DKI Jakarta,,,
Tugu Selamat Datang Jawa Tengah - Jawa Timur,4.4,403,Bangunan Bersejarah,-6.754206,111.690404,Edukasi,Jawa Tengah,,,
Pantai Kasap,4.6,3986,Pantai,-8.2402434,110.9829,Alam,Jawa Timur,,,
Museum Airlangga,4.4,206,Museum Sejarah,-7.8074823,111.9739043,Edukasi,Jawa Timur,https://pixabay.com/get/geb57e338f4f47c27b1a25252707e670566444b5b5e40417bdb395de298b13d5c816202f6a572d7363823782937516740b544a424ba7ec7e27d2ece8782e87cc2_1280.jpg,,
Mangrove Trail Jatipapak,4.6,36,Tujuan Wisata,-8.5408763,114.3730788,Alam,Jawa Timur,,,
Sikadacang Water Park,4.6,89,Taman Rekreasi Air,-6.8063362,108.4459091,Taman Hiburan,Jawa Barat,,,
Tugu Batas Sambong - Kedungtuban,4,95,Monumen,-7.1034375,111.5023594,Edukasi,Jawa Tengah,,,
Pantai Purnama,4.2,888,Pantai,-8.6192976,115.3099717,Alam,Bali,,,
Summerland Tirtamas Waterpark,4.2,477,Taman Rekreasi Air,-7.5574954,110.8614113,Taman Hiburan,Jawa Tengah,,,
Waterpark Mulia Wisata,4.1,1900,Taman Rekreasi Air,-6.7112448,110.8828757,Taman Hiburan,Jawa Tengah,,,
Mr. Games Pandeglang,4.1,37,Arena Bermain Anak-Anak,-6.323181,106.0955705,Taman Hiburan,Banten,https://pixabay.com/get/g79f108b2ee01706baddf506b688c298f83ce4e24acec8f27e4a67378a18d76bfccfad0f4469d3eb5b7bef5041a2878634ece7a78b143632eaefb14f60923b5be_1280.jpg,,
Telaga Julantoro,4.3,151,Taman Rekreasi Air,-7.8377836,110.3553124,Taman Hiburan,Daerah Istimewa Yogyakarta,https://pixabay.com/get/gb35b5fc75d7cf796792c15fdceef93dcda82963d486add81fc5a7689dad617a39e5cea16443f30e473e5ff7c1bab766447e69e735ba0e5027e4ef1d6f8cbf259_1280.jpg,,
Kidzooona Grand Indonesia,4.3,128,Taman bermain,-6.1954578,106.819949,Taman Hiburan,DKI Jakarta,,,
Candi Donotirto,4.5,286,Tujuan Wisata,-7.7955613,110.3612095,Edukasi,Daerah Istimewa Yogyakarta,,,
Trans Studio Mini,4.6,444,Taman bermain,-6.0069241,106.0431236,Taman Hiburan,Banten,https://pixabay.com/get/gb6280455913143d6245d858d4965ae4ee19da0a823be60494c82397df4882841501ef252852fdd3781a6455b1ff33fc3801bbfd55370d22e40d08c42715fb7b6_1280.jpg,,
Bukit Cinta Watu Prahu,4.1,2308,Tujuan Wisata,-7.7641112,110.6695788,Alam,Daerah Istimewa Yogyakarta,,,
Bali Wake Park & Aqualand,4.4,1955,Taman Rekreasi Air,-8.7238885,115.2146092,Taman Hiburan,Bali,,,
Gofun Waterpark Bojonegoro,4.3,1608,Taman Hiburan,-7.1700087,111.897731,Taman Hiburan,Jawa Timur,,,
Taman Pandawa Lima,4.9,88,Taman bermain,-6.3576898,106.7186819,Taman Hiburan,Banten,https://pixabay.com/get/gf5e776b786b9d7c03bce4129bfcb06333ce59d1a31d3b218ef069264eebbc9c6b7ca073231a99b5f14eee6cb5665986bb9fc49e60cf47e78f90978ec7db1b775_1280.jpg,,
Museum & Monumen Peta,4.6,1668,Tujuan Wisata,-6.5851731,106.796318,Edukasi,Jawa Barat,,,
Selamat Jalan,4.4,122,Monumen,-7.7082825,111.9324171,Edukasi,Jawa Timur,https://pixabay.com/get/gc1bf27c221b105fc3bc3232c81880c8729b7cc1c12000ef2d320b1d4af95f15cb1ee09ca80d6a7c12db660aefc0d3f3836c8467b60dcfc30848f9d131c9cadf2_1280.jpg,,
Tugu Deles,4.4,55,Bangunan Bersejarah,-7.1173806,109.9078532,Edukasi,Jawa Tengah,,,
Curug Cigumawang,4.3,533,Tujuan Wisata,-6.2334938,105.9506507,Edukasi,Banten,,,
Batu Night Spectacular,4.5,37541,Taman Hiburan,-7.8965273,112.5345306,Taman Hiburan,Jawa Timur,https://pixabay.com/get/ged6679ffdbc8059303cab19089635379e743a1bdcf477fe5e0e08056b1baac598ab4f338b141a87f1f97d6538b6cccedb421dfbb27aea25a20db5e4338aee46d_1280.jpg,,
Wisata Bahari Lamongan (Wbl),4.6,5257,Taman Rekreasi Air,-6.8667365,112.3608866,Taman Hiburan,Jawa Timur,,,
Gunung Kawahsikidang,3.8,35,Gunung berapi,-7.2152778,109.8994444,Alam,Jawa Tengah,https://pixabay.com/get/g312911fd58010722b45b0c6015dd22e1fe0ad7a812bf83667865eda766bb4033b90a1fa4f08f522a55ba87110f102b458f79f8464531610c2967f2bc80af0496_1280.jpg,,
Museum Le Mayeur,4.1,656,Museum Seni,-8.6748773,115.2636777,Edukasi,Bali,,,
Kampung Kabayan,4.3,15,Kebun Binatang,-6.2330486,106.3012749,Taman Hiburan,Banten,https://pixabay.com/get/g173c726dd99bee235f3dd86e7c9fe3f82a211ff3b6f97bce0d3bb13821df32caff48c12a04c5c82e0376fad728b800cd601b31c49bab9f6fdda0c724c46711a6_1280.jpg,,
Kencana Art Market,4.6,67,Toko Suvenir,-8.7103643,115.1724002,Shopping,Bali,https://pixabay.com/get/g8bf10f3dbd65f529f829ff7af8636e1b1ef17e50312c486f65760a02a05fb02bd725376630a43e555fa6cafdefc05924_1280.jpg,,
Gunung Lawu,4.6,2643,Gunung berapi,-7.6275,111.1941666,Alam,Jawa Tengah,https://pixabay.com/get/gae6132a4f853d2c012a7f7455981c8bed2665f931193f848565516e83b1ab5a25e052f098e02d7fbd1544f6154540fee4754a6694e65834d24754944d5e4c04e_1280.jpg,,
Gedung Juang 45 Bekasi,4.7,5719,Museum,-6.2595094,107.0546712,Edukasi,Jawa Barat,https://pixabay.com/get/g47ccf96fe5063be048cd196c298662ec1ad34ccd982462399ec7e7d1d47b02452e94f1155036906ac2b7f252340b1da2ab532797f945bb44bef35a8d0db0f5ae_1280.jpg,,
Prasasti Batu Tulis,4.6,2307,Bangunan Bersejarah,-6.6236589,106.8089952,Edukasi,Jawa Barat,https://pixabay.com/get/g6746ec2192a0bb162756cac56947c84b735ca3b0a7be5a76bda73a41fa40726bc177125475f2b850111e281f7c24bc251916fc7b29c62fc82b1d430bdf661b44_1280.jpg,,
Rumah Belanda 1891 Cilenggang,4.5,21,Bangunan Bersejarah,-6.3075833,106.6613198,Edukasi,Banten,,,
Monumen Tugu Perbatasan Subang - Lembang - Bandung,4.6,576,Monumen,-6.7739298,107.6361218,Edukasi,Jawa Barat,,,
Seasons Playground,4.6,76,Taman Bermain Dalam Ruangan,-6.9084788,107.611184,Taman Hiburan,Jawa Barat,,,
Bakpia Satu Hati Superstore - Malioboro,5,1640,Toko Kue,-7.7913377,110.3613552,Shopping,Daerah Istimewa Yogyakarta,,,
Taman Mangrove Wonorejo Surabaya,4.4,204,Taman Ekologi,-7.307471,112.8426897,Alam,Jawa Timur,,,
Gunung Arjuno,4.5,800,Gunung berapi,-7.725,112.589444,Alam,Jawa Timur,,,
Plaza Garuda,4.5,105,Tujuan Wisata,-8.8102751,115.1681446,Edukasi,Bali,,,
Taman Budaya Garuda Wisnu Kencana,4.5,66589,Tujuan Wisata,-8.8104228,115.1675986,Alam,Bali,https://pixabay.com/get/gac8fe1885dc7ddd1248d7c5c11f0777143ef07898ef6240698fe49c85068b61e12e911f55699aafe68beb432889df047bb15137959bff32a135e4d3ebab56eb5_1280.jpg,,
Wayang Windu Panenjoan,4.7,4467,Area Rekreasi Alam,-7.2073348,107.6271611,Alam,Jawa Barat,,,
Monumen Jenderal Sudirman,4.5,72,Tujuan Wisata,-7.7573029,111.8602517,Edukasi,Jawa Timur,https://pixabay.com/get/g17e6e248674944691cfbaef4d60d01818f59b748ec6b6c444da10c8242d27b476c5e33c5ab2075d1b6305c275e37c7d6127a586ef2513220baa75badaab91591_1280.jpg,,
Taman Ruang Bermain Ramah Anak,4.2,111,Taman Kota,-6.5907143,110.6668942,Taman Hiburan,Jawa Tengah,https://pixabay.com/get/g9352f2fc4b7e1541675256278823a2e6adc96cbf7558639a0066bab242da06ba85d01d7641d5b1fd1a210c4c315993aada0e75e54cdc71c527fd96c1d0fbc206_1280.jpg,,
Situs Watu Kandang,4.4,322,Bangunan Bersejarah,-7.6548164,111.0586124,Edukasi,Jawa Tengah,,,
Fun And Play Semarang,4.8,566,Arena Bermain Anak-Anak,-6.9744529,110.4191163,Taman Hiburan,Jawa Tengah,,,
Pantai Palatar Agung,4.3,191,Tujuan Wisata,-7.69082,108.7926765,Alam,Jawa Tengah,,,
Rumah Main Main,4.2,41,Taman bermain,-6.2710199,106.7518429,Taman Hiburan,DKI Jakarta,https://pixabay.com/get/ge8c4fcfa054f1bf0bdc3aa0205a400ffe7588a415bb3599b0da4a14115fd2e65053a0e0187f03cd4d2a99a0217585da1ccd5715da402fa7db41cd0f023dd630e_1280.jpg,,
Oleh - Oleh Bandeng Dury,5,216,Pusat Perbelanjaan,-6.9720902,110.0683328,Shopping,Jawa Tengah,,,
Ecomarine Tourism Mangrove (Komma),4.4,73,Hutan Nasional,-6.101675,106.7674892,Alam,DKI Jakarta,,,
Pesawat Gumuk Pasir,5,24,Taman,-8.0188262,110.3163875,Alam,Daerah Istimewa Yogyakarta,https://pixabay.com/get/g4ca9c27e65d23935a0627e01870005e89ad1b585cc74931b7b41a3d1646f328c16149667411a286952e60d81bcaa7226c84b589451f6e1313ae1d1bda16006a5_1280.jpg,,
Gunung Kawi,4.2,1378,Puncak Gunung,-7.955,112.465,Alam,Jawa Timur,,,
Fruit City Citimall,4.7,103,Taman bermain,-7.2142603,107.9208429,Taman Hiburan,Jawa Barat,,,
Candi Tebing Tegallinggah,4.7,115,Tujuan Wisata,-8.527768,115.306036,Edukasi,Bali,,,
Watu Gajah Park,4.1,4090,Lahan Piknik,-7.1633102,110.4462307,Alam,Jawa Tengah,,,
Benteng Jolontoro,4.5,100,Benteng,-7.7227958,110.5114652,Edukasi,Jawa Tengah,,,
Gunung Rinjani,4.6,2523,Gunung berapi,-8.4112952,116.4573488,Alam,Bali,,,
Gua Manik,4.2,2744,Tujuan Wisata,-6.4068509,110.9084828,Alam,Jawa Tengah,,,
Muara Sinta Sawarna,5,20,Area Rekreasi Alam,-6.9790817,106.3022041,Alam,Banten,https://pixabay.com/get/g769d66828ebb1ef2110773e652afd3df5c6b6a44652909bb54bd278d588fceca704e5197174a6aa790f9229fc518ed0dacb94d3378df36d6f3c48755f7677583_1280.jpg,,
Puncak Batara Sriten,4.6,131,Tujuan Wisata,-7.8309862,110.6339761,Alam,Daerah Istimewa Yogyakarta,,,
Monumen Tugu Demarkasi Kemit (Karanganyar),4.5,389,Bangunan Bersejarah,-7.6131696,109.5472211,Edukasi,Jawa Tengah,,,
Zone 2000,3.3,65,Taman Bermain Dalam Ruangan,-7.9813193,112.6319121,Taman Hiburan,Jawa Timur,,,
Gapura Selamat Datang,4.6,338,Monumen,-8.0061951,112.8679052,Edukasi,Jawa Timur,https://pixabay.com/get/g6561b3259028db6b925faa060c2e48419c81768967f0e617fa01a1372cf5403042356f846d47b5f268e10c38e51ccb43819ee237a4e03960e88ac477729fd60f_1280.jpg,,
Museum Mandiri,4.7,2316,Museum,-6.138083,106.8132541,Edukasi,DKI Jakarta,,,
Taman Geowisata Karangbolong,4.4,78,Taman,-7.7470499,109.4689345,Alam,Jawa Tengah,,,
Yogyakarta'S Adipura Monument,4.6,39,Bangunan Bersejarah,-7.7903974,110.3684918,Edukasi,Daerah Istimewa Yogyakarta,,,
Tugu Jagung Candi Kuning,4.6,160,Patung,-8.2837159,115.1618098,Edukasi,Bali,,,
Tebing Panorama Melasti Beach (Tebing Kembar),4.8,33,Tujuan Wisata,-8.8480192,115.162528,Alam,Bali,,,
Pantai Munggu,4.5,638,Pantai,-8.6484082,115.1169257,Alam,Bali,,,
Gunung Pucangan,4.5,93,Puncak Gunung,-7.3880556,112.2991667,Alam,Jawa Timur,,,
Coconut Beach,4.2,149,Tujuan Wisata,-6.5360807,110.6734505,Alam,Jawa Tengah,,,
Funworld,4.3,392,Pusat Hiburan,-6.176509,106.791252,Taman Hiburan,DKI Jakarta,,,
Tugu Api Rawageni,4.9,34,Bangunan Bersejarah,-6.424302,106.8095239,Edukasi,Jawa Barat,https://pixabay.com/get/g5665003af9903f60c13f30c3f8046c59c3b244a4ae63a2c9eaee9bf09552d9ed8dbb56408d77e489488d0c89152a0d54f6a170caf1764bc65891ac430b266337_1280.jpg,,
Wisata Sambikerep,4.5,22,Tujuan Wisata,-7.8171835,110.5115665,Alam,Daerah Istimewa Yogyakarta,,,
Candi Arjuna,4.6,14700,Tujuan Wisata,-7.2050346,109.9069386,Edukasi,Jawa Tengah,,,
Candi Ijo,4.8,1776,Tujuan Wisata,-7.7837725,110.5120459,Edukasi,Jawa Tengah,,,
Rumah Topeng Dan Wayang Setia Darma,4.8,1123,Museum Seni,-8.5340219,115.2797902,Edukasi,Bali,,,
Mercusuar Tanjung Baron,4.6,320,Taman Peringatan,-8.1314541,110.5490111,Edukasi,Daerah Istimewa Yogyakarta,,,
Tugu Masuk Desa Gambor,4.2,51,Monumen,-8.338906,114.245843,Edukasi,Jawa Timur,,,
Milenial Glow Garden,4.7,2528,Taman Hiburan,-7.8988554,112.5547462,Taman Hiburan,Jawa Timur,,,
Wisata Sejarah Monumen Gempol Ngadeupa,4.3,46,Tujuan Wisata,-6.5389394,107.1939344,Edukasi,Jawa Barat,https://pixabay.com/get/g9bb7356e4157e6415b6a6e0bcd5e7d755b5f2cb4a244e2b3525400931f315d2460a3070441f9604d8e98eb379a482b94fb533bafa834f913edd505e660507878_1280.jpg,,
Tugu Bubur Ayam Cianjur,4.7,30,Bangunan Bersejarah,-6.7508999,107.046892,Edukasi,Jawa Barat,https://pixabay.com/get/g4ad83730c71a252f5134481035ce2b7d47e74c75e60bc2dfc0e3850f3a1e72f02ae91912fd87d9186c579f9037d896d07c80ad07bba5a8e153279ab5eb2a55cd_1280.jpg,,
Little Ranch,4.5,309,Kebun Binatang,-7.1936164,110.3673163,Taman Hiburan,Jawa Tengah,,,
Monumen Cb Prambon,4.6,349,Monumen,-7.724889,112.024956,Edukasi,Jawa Timur,https://pixabay.com/get/g6aaab89fcd4dcc86d170c06f3df48364a732ed96ca3c77a8dd3966f62a9aeb1047f2472159b3f71490026e263d16378bea23aa592b582bcad5a5ced5494cf54f_1280.jpg,,
Surabaya Museum (Gedung Siola),4.6,7810,Museum,-7.2561991,112.7378506,Edukasi,Jawa Timur,,,
Jawa Timur Park 1,4.5,18364,Pusat Rekreasi,-7.884152,112.5248269,Taman Hiburan,Jawa Timur,https://pixabay.com/get/g2bfa451a6fdf2a789c7323029609d07881cfe721b6c030537daaf4cfa063ef0cc8b5d025f514810798862ec7f083867663391b4ffcb0545f452112833420f560_1280.jpg,,
Tropikana Waterpark Garut,4.1,123,Taman Rekreasi Air,-7.2114261,107.8999224,Taman Hiburan,Jawa Barat,,,
Pantai Sawangan,4.4,321,Tujuan Wisata,-7.7586175,109.3987357,Alam,Jawa Tengah,,,
Tlogo Land,4.3,1540,Tujuan Wisata,-7.8272887,112.6810779,Alam,Jawa Timur,,,
Pantai Bentar,4.6,759,Tujuan Wisata,-7.7814854,113.2756456,Alam,Jawa Timur,,,
Pondok Zidane,4.3,3670,Taman Rekreasi Air,-6.4334188,106.7761686,Taman Hiburan,DKI Jakarta,,,
Pusat Oleh Oleh Sari Manis1,4.1,30,Pusat Perbelanjaan,-6.7721448,107.062289,Shopping,Jawa Barat,,,
Kidzooona Paris Van Java,4.2,74,Pusat Hiburan Anak-Anak,-6.889043,107.5960663,Taman Hiburan,Jawa Barat,https://pixabay.com/get/g5184116335033ddfae5ee52bf77bc703c5f81cb6ee84032c459a622aab7bda4db66c40db2b1f3527760da03d2dc8cab02dcab2148b69af0505674dd5098b4b01_1280.jpg,,
Tugu Kartini,4.5,519,Patung,-6.5953149,110.6660117,Edukasi,Jawa Tengah,,,
Pantai Kerang,4,86,Pantai,-6.5230402,105.7390792,Alam,Banten,https://pixabay.com/get/gcdb1788d8bd9520c9909d305e7a24f98e0e422a5132a379b50c6643aad29e99871ec869a547198ba6bb1686a286b6756f8628fefa7cc0255074ce6cf28c54db6_1280.jpg,https://images.pexels.com/photos/11666424/pexels-photo-11666424.jpeg,https://images.unsplash.com/photo-1664781819430-d69e09b5254c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHwxNHx8UGFudGFpJTIwS2VyYW5nfGVufDB8MHx8fDE3NDg5NDg2NTF8MA&ixlib=rb-4.1.0&q=80&w=1080
Museum Benteng Vredeburg,4.7,19345,Tujuan Wisata,-7.800293,110.3661642,Edukasi,Jawa Tengah,,,
Kolam Renang Kebon Pring,4.8,37,Taman bermain,-6.9556426,110.2588598,Taman Hiburan,Jawa Tengah,https://pixabay.com/get/g05805779e3b1299a484387b8a43733ec795a0110b21e24cb3b928902d7268b87211418532b89899aac23dd661a639e8c2c5ec0a187ef247b668178a2acd43e3d_1280.jpg,,
Pantai Cemara Cidamar Cidaun Cianjur,4.3,1277,Tujuan Wisata,-7.4994863,107.3529147,Alam,Jawa Barat,,,
Tugu Utama Kota - Kota Harapan Indah,4.5,908,Monumen,-6.1922982,106.9756885,Edukasi,DKI Jakarta,,,
Kawasan Konservasi Taman Pesisir Pangandaran,4.4,62,Taman,-7.6919648,108.6635751,Alam,Jawa Barat,,,
Pantai Minajaya,4.3,1415,Pantai,-7.4001847,106.5167719,Alam,Jawa Barat,,,
Museum Perumusan Naskah Proklamasi,4.7,1111,Museum Sejarah,-6.2004272,106.8310959,Edukasi,DKI Jakarta,,,
Gunung Lamongan,4.4,107,Gunung berapi,-7.9666667,113.3333333,Alam,Jawa Timur,,,
Tanjungsari Land,4.2,125,Taman Rekreasi Air,-7.4473691,109.9769543,Taman Hiburan,Jawa Tengah,,,
Mbs Mangrove Park,4.1,24,Tujuan Wisata,-6.8911843,112.6088924,Alam,Jawa Timur,,,
Taman Rekreasi Pantai Karangbolong Banten,4.4,253,Taman,-6.1577843,105.8539313,Alam,Banten,https://pixabay.com/get/g2d7751d571c1bf12f3c2210d7a60b1154dd72b93afa95ef9706e5b365a7f5ddf339717d117c5840d56f3f3d362cf8fb5e625c2cd9eb980a38949f30ab562d7c2_1280.jpg,,
Kampung Batu Malakasari,4.2,5491,Taman Rekreasi Air,-7.0093633,107.6069444,Taman Hiburan,Jawa Barat,,,
Bukit Bego,4.5,415,Tujuan Wisata,-7.925735,110.4032139,Alam,Daerah Istimewa Yogyakarta,,,
Pantai Karangjahe,4.3,15745,Tujuan Wisata,-6.6873643,111.4119539,Alam,Jawa Tengah,,,
Amsterdam Water Park,4.2,5303,Taman Rekreasi Air,-6.1589968,106.5838731,Taman Hiburan,Banten,,,
Kampoeng Etnik Kebumen,4.1,1649,Taman Hiburan,-7.673356,109.6529944,Taman Hiburan,Jawa Tengah,,,
Museum Keprajuritan Indonesia,4.3,1157,Tujuan Wisata,-6.3056638,106.8967708,Edukasi,DKI Jakarta,,,
Jawa Timur Park 3,4.5,42422,Taman Hiburan,-7.8971338,112.5531027,Taman Hiburan,Jawa Timur,https://pixabay.com/get/g4759b9cbeb296741debbb75cc88e235a773a4d11b9ca903b1f3faca10e8bda1e5f2a2be8d6d561ab31b5dfdf43399c9b2ef325fa57b87c5300ddff805fcfd589_1280.jpg,,
Wonderland Ada Siliwangi,3.7,19,Taman Bermain Dalam Ruangan,-6.9827746,110.4044725,Taman Hiburan,Jawa Tengah,,,
The Bagong Adventure Museum Tubuh,4.7,4811,Tujuan Wisata,-7.8834283,112.5250274,Alam,Jawa Timur,,,
Taman Sidampolis (ꦠꦩꦤ꧀ꦯꦶꦣꦩ꧀ꦥꦺꦴꦭꦶꦱ꧀),4.2,136,Taman bermain,-6.8704809,109.4667311,Taman Hiburan,Jawa Tengah,,,
Pantai Mushroom Bay,4.1,464,Pantai,-8.6822997,115.4335298,Alam,Bali,https://pixabay.com/get/g7aa254ce5124558fce3c7017b4a65422442ab34342119712db98d65f76be8711475a21b0381f4e1d380e47376f68b28c2ae6c4a35fd36eff2ef797226f8c6f44_1280.jpg,,
Pantai Padang Galak,4.6,402,Tujuan Wisata,-8.6611382,115.2633006,Alam,Bali,https://pixabay.com/get/ge5edd0439e4578365bed03cc08d4e5fa3c15fc0aa71e5096b38752e52f5974f7f2b9a52364750bcb203821ef28f8d960e692caefc67d0c4e5fff019777d7c4ae_1280.jpg,,
Bakpia Pathok 25 & 99,4.5,6425,Pusat Perbelanjaan,-7.8051687,110.3603248,Shopping,Daerah Istimewa Yogyakarta,,,
Teejay Waterpark,4.4,6354,Taman Rekreasi Air,-7.341963,108.214687,Taman Hiburan,Jawa Barat,,,
Venetian Water Carnaval Bekasi,4.2,3385,Taman Rekreasi Air,-6.2188418,107.0357911,Taman Hiburan,DKI Jakarta,,,
Pantai Nyanyi,4.4,906,Pantai,-8.6336624,115.0978348,Alam,Bali,,,
Pijar Park Camping Ground,4.4,1003,Bumi perkemahan,-6.6785955,110.8922108,Alam,Jawa Tengah,,,
Gunung Penanggungan,4.7,1208,Gunung berapi,-7.6150282,112.6201594,Alam,Jawa Timur,,,
Monumen Bibis,4.3,134,Tujuan Wisata,-7.8505158,110.3123404,Edukasi,Daerah Istimewa Yogyakarta,,,
Sakura Mochi Bumijo,4.9,692,Toko Suvenir,-7.7841476,110.3631138,Shopping,Daerah Istimewa Yogyakarta,,,
Taman Merbabu,4.4,1184,Taman bermain,-7.967958,112.6258225,Taman Hiburan,Jawa Timur,,,
Bundaran Hi,4.8,5444,Tujuan Wisata,-6.1949851,106.8230701,Edukasi,DKI Jakarta,,,
Ancol Monument,4.6,243,Monumen,-6.1233665,106.8410979,Edukasi,DKI Jakarta,,,
Tugu Selamat Datang Kabupaten Batang,4.5,41,Monumen,-6.9701436,110.0490168,Edukasi,Jawa Tengah,,,
