nama,rating,jumlah_review,tipe,lat,lon,kategori,provinsi,url_gambar_1,url_gambar,url_gambar_2
Monumen Fidget Spinner,5,26,Bangunan Bersejarah,-6.2640758,106.7968689,Edukasi,DKI Jakarta,,,
Pantai Pasir Putih Losari,3.6,127,Tujuan Wisata,-6.7932827,108.8603305,Alam,Jawa Tengah,,,
Batu Belig Beach,4.6,203,Tujuan Wisata,-8.6742449,115.1459553,Alam,Bali,https://pixabay.com/get/gb874b4fdad629bcf247f32739d086365af76b8f6ed28e78bbbba2e4957178898afc3ef0207528edb8e7cdf8ddc6a0b82d2fd4fa99a023a580a21981ae5233584_1280.jpg,,
Pantai Berawa,4.5,3029,Pantai,-8.6637779,115.1359348,Alam,Bali,,,
Mangrove Tanjung Pasir,4.4,161,Taman Komunitas,-6.0210543,106.6710046,Taman Hiburan,Banten,,,
Pantai Pok Tunggal,4.5,3874,Pantai,-8.1554468,110.6217582,Alam,Daerah Istimewa Yogyakarta,,,
"Hutan Mangrove Muara Gembong - Kab, Bekasi",4.4,452,Tujuan Wisata,-6.0246256,107.0235411,Alam,Jawa Barat,,,
Tugu Payung Sumawe,4.2,106,Monumen,-8.2644061,112.6943747,Edukasi,Jawa Timur,https://pixabay.com/get/g5fb91a5a5e4bccba61195ea2b0f484c8f53c6ae6652d1697d4f45fb75627b106f23e340969270aa4d820275cded8f1b4c46bf8bf71bcae2382ff699ac124b5c3_1280.jpg,,
Pantai Ci Anda,4.3,52,Pantai,-7.540372,107.5136202,Alam,Jawa Barat,,,
Dino Park Jogja,4.1,374,Tujuan Wisata,-7.620911,110.4216404,Alam,Daerah Istimewa Yogyakarta,,,
Gapura Pangurakan Jawi,4.6,168,Bangunan Bersejarah,-7.8022071,110.3645989,Edukasi,Daerah Istimewa Yogyakarta,,,
Puncak Gunung Prau ,4.9,243,Area Mendaki,-7.1912656,109.9275802,Alam,Jawa Tengah,https://pixabay.com/get/g7a54c2c1d1bd1d5f8db62cdf037fd0c32dfe032523f1300d96d50d5ff3353efc9e7182d3b74fb2850a9dfe409f2fb0b6ebf085e278bbdb4d7787885c6a539e62_1280.jpg,,
Monumen Yudha Mandala Tama,4.5,44,Tujuan Wisata,-8.1032879,115.0892326,Edukasi,Bali,,,
Candi Pawon,4.5,2759,Tujuan Wisata,-7.6061348,110.2195624,Edukasi,Jawa Tengah,,,
Padang Savana Pandanwangi,4.4,333,Tujuan Wisata,-8.2832294,113.1909109,Alam,Jawa Timur,,,
Pantai Sirkuit Widuri Pemalang,4.3,3019,Tujuan Wisata,-6.8604949,109.3846228,Alam,Jawa Tengah,,,
Puncak Guha,4.5,2926,Tujuan Wisata,-7.5362574,107.4971417,Alam,Jawa Barat,,,
Matta Waterpark,4.5,89,Taman Rekreasi Air,-7.0996101,107.8975037,Taman Hiburan,Jawa Barat,,,
Pantai Florida 2 Anyer,4.2,3963,Pantai,-6.1317885,105.8644861,Alam,Banten,https://pixabay.com/get/g43f0dbe96063b51ab998077488c78a22319cbb49c92e087699eea1c48f1ff6238ea0f08fd6564746a518d797d6100df5_1280.jpg,https://images.pexels.com/photos/15240761/pexels-photo-15240761.jpeg,https://images.unsplash.com/photo-1583607348291-f063e3705718?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHwxM3x8UGFudGFpJTIwRmxvcmlkYSUyMDIlMjBBbnllcnxlbnwwfDB8fHwxNzQ4OTQ4NjQ2fDA&ixlib=rb-4.1.0&q=80&w=1080
Tugu Muda Semarang,4.7,14396,Bangunan Bersejarah,-6.9843176,110.4093244,Edukasi,Jawa Barat,https://pixabay.com/get/g8d7ee60c723a72677c6440e52cbd3fcc0a4e8f24bb45d7023c2aa1d9c77f47d7a8a8c202245cf697f65c91dc8ba975f2abaf2d6eafe0e957eb1b88951a10a650_1280.jpg,,
Kolam Renang Tirto Argo Siwarak,4.4,4162,Taman Rekreasi Air,-7.132106,110.394523,Taman Hiburan,Jawa Tengah,,,
Pantai Glagah Wangi Istambul,4.3,1208,Tujuan Wisata,-6.8542144,110.5185865,Alam,Jawa Tengah,,,
Pantai Balangan,4.5,2567,Pantai,-8.7920478,115.1234172,Alam,Bali,,,
Patung Nakula Sahadewa,4.7,109,Patung,-8.7854955,115.1660014,Edukasi,Bali,,,
Kingkong Splash Waterpark,4.3,1141,Taman Rekreasi Air,-7.6451469,112.7078149,Taman Hiburan,Jawa Timur,,,
Kidzilla Bintaro Plaza,4.5,184,Taman Bermain Dalam Ruangan,-6.2728022,106.741999,Taman Hiburan,Banten,,,
Mangrove Center Armapala,4.3,42,Area Rekreasi Alam,-7.1083024,112.6069862,Alam,Jawa Timur,,,
Wonderland Adventure Waterpark Galuh Mas Karawang,4.3,5936,Taman Rekreasi Air,-6.326414,107.290854,Taman Hiburan,Jawa Barat,,,
Patung Pemuda Membangun,4.7,367,Bangunan Bersejarah,-6.2293208,106.799418,Edukasi,DKI Jakarta,,,
Taman Bukit Pariuk Nangkub,4.3,53,Tujuan Wisata,-6.6463367,105.6848383,Alam,Banten,,,
Splash Wow,4.7,67,Taman bermain,-6.3488782,106.6945832,Taman Hiburan,Banten,https://pixabay.com/get/g2df284a4d7cd520a679c5ad3478c19e3035e4e325beb21cb9d56cabbc312a33976d28696a6c6f9ae77524cdc02ed1c473bd31a2ecca2b2ff27ce13da9feee0e3_1280.jpg,,
Pondok Indah Water Park,4.6,2425,Taman Rekreasi Air,-6.2677295,106.7843933,Taman Hiburan,DKI Jakarta,,,
Pantai Lepang,4.4,195,Pantai,-8.5745833,115.3844642,Alam,Bali,https://pixabay.com/get/gd504d31191fd0ec275cf428f8d6e35c690f57b908309eedee9b21a2c4700c126af27e09c20733010030c288683b7dbfed3fc33271e2d4ffd8de74edee8ebd114_1280.jpg,,
Taman Rusa Bumi Patra Indramayu,4.4,124,Kebun Binatang,-6.3509398,108.3374453,Taman Hiburan,Jawa Barat,,,
Museum Pendidikan Surabaya,4.8,1250,Museum,-7.2562147,112.7429471,Edukasi,Jawa Timur,https://pixabay.com/get/g2a456f98f8d5ab56d1a7a5fa77c6a1eacab035e6ffc5c551f855e27e249bdb0136be2d9bda1311162683ca2af6a578bf542dac318bb036a1a875fe3eed45f6bb_1280.jpg,,
Museum Geologi Bandung,4.7,16662,Museum Ilmu Pengetahuan Alam,-6.9007162,107.6214553,Edukasi,Jawa Barat,,,
Pantai Petitenget,4.5,4334,Pantai,-8.6823579,115.150964,Alam,Bali,,,
New Town Water Park,4.3,76,Taman Rekreasi Air,-6.170466,106.6164649,Taman Hiburan,Banten,,,
Pasir Kadilangu Beach,4.2,2031,Tujuan Wisata,-7.8945708,110.0287687,Alam,Daerah Istimewa Yogyakarta,https://pixabay.com/get/gab99365025c3b0fc8ae66c1547d5f26b69c29235aef50d8164b367ae93f5fb295aa07ba933857bf0d0284a29f5980e3737823c3a20c97455569c7d62c4196e90_1280.jpg,,
Singa Ambara Raja Statue,4.7,257,Patung,-8.1246944,115.0928475,Edukasi,Bali,,,
Galaxy Tirtamas Club,4.3,4743,Taman Rekreasi Air,-6.2724666,106.9716415,Taman Hiburan,DKI Jakarta,,,
Museum Dewantara Kirti Griya,4.7,397,Museum,-7.8054196,110.378477,Edukasi,Daerah Istimewa Yogyakarta,,,
Tugu Golong Gilig Jogja,4.8,73,Bangunan Bersejarah,-7.7831633,110.3673266,Edukasi,Daerah Istimewa Yogyakarta,,,
Alun-Alun Sindangbarang,4.3,2264,Taman Kota,-7.4516322,107.1348997,Taman Hiburan,Jawa Barat,,,
Pantai Kukup,4.6,6199,Tujuan Wisata,-8.1337123,110.5547433,Alam,Daerah Istimewa Yogyakarta,https://pixabay.com/get/g26f834d22837c2e62ffde62a6268da6c8c829f7b15de655ebc0dc167bc549cc2d438eae2ccbd221c792515a7b864711e5b75d07701f4cbf6de398552a4fc6577_1280.jpg,,
Bukit Banyon,4.3,570,Tujuan Wisata,-8.1358,111.73125,Alam,Jawa Timur,,,
Kidcity Transmart Carrefour,4.5,2465,Taman Bermain Dalam Ruangan,-6.3018569,106.8141791,Taman Hiburan,DKI Jakarta,,,
Sanding Waterboom,4.5,605,Taman Rekreasi Air,-7.0706085,107.7770008,Taman Hiburan,Jawa Barat,,,
Jembangan Wisata Alam,4.3,1883,Area Rekreasi Alam,-7.6546277,109.7707323,Taman Hiburan,Jawa Tengah,,,
Saung Biru Pandeglang,4.4,404,Tujuan Wisata,-6.267015,106.07448,Edukasi,Banten,,,
Monumen Pancasila Sakti,4.6,9696,Monumen,-6.284999,106.9043276,Edukasi,DKI Jakarta,,,
Nusa Dua,4.6,224,Taman,-8.7991737,115.2350519,Alam,Bali,https://pixabay.com/get/g30535ea9a9d6204794514583352e4f9375200d174775175c22f0bc850b8f61b179147faafac82758a19854c05062db55fecc25f6687a4eb32509645ccaf572f4_1280.jpg,,
Agung Fantasi Waterpark Widasari - Indramayu,4.1,1246,Taman Rekreasi Air,-6.4818413,108.2961403,Taman Hiburan,Jawa Barat,,,
Pantai Melasti Ungasan,4.8,22312,Tujuan Wisata,-8.8477419,115.1606704,Alam,Bali,,,
Dupan Water Park,4,282,Taman Rekreasi Air,-6.9065036,109.7004889,Taman Hiburan,Jawa Tengah,,,
La Water Park,4.2,179,Taman Rekreasi Air,-7.8372243,112.5173981,Taman Hiburan,Jawa Timur,,,
Waterboom Cahaya Abadi,4.1,1350,Taman Hiburan,-7.053862,107.565403,Taman Hiburan,Jawa Barat,,,
Tugu Pertigaan Wajak,4.2,369,Monumen,-8.1032614,112.7345743,Edukasi,Jawa Timur,https://pixabay.com/get/g494282ec2d72f601af280047d409c4c160b79d655710895a47efcff82249c3efc1941f50b89f3e0c3bcffd44cb8128751a319ccbb9035e27503db0591fbde334_1280.jpg,,
Tugu Juang Baleendah,4.5,773,Monumen,-7.008147,107.6261902,Edukasi,Jawa Barat,https://pixabay.com/get/g29501ec6850fdb21941191552678c7fa6d237b992119fe94695563f4e3dcae23f9160772a7d5ea667fcc29f3534a743c0c74a59df80c61630268a846b99c6dec_1280.jpg,,
Puncak Puthuk Gragal,4.8,90,Area Mendaki,-7.6936312,112.5800841,Alam,Jawa Timur,,,
Pura Geger Beach,4.7,1272,Tujuan Wisata,-8.819863,115.223829,Alam,Bali,,,
Candi Tebing Kerobokan,4.7,49,Tujuan Wisata,-8.485522,115.3068352,Edukasi,Bali,,,
